my_id,유형
A002672,택시사고
A056699,택시사고
A014468,택시사고
A025819,택시사고
A058536,택시사고
A058469,택시사고
A035208,택시사고
A059726,택시사고
A074462,택시사고
A020182,택시사고
A064171,택시사고
A000472,택시사고
A025782,택시사고
A069287,택시사고
A047490,택시사고
A062714,택시사고
A030852,택시사고
A008510,택시사고
A041206,택시사고
A061007,택시사고
A066160,택시사고
A047764,택시사고
A045457,택시사고
A020876,택시사고
A024097,택시사고
A027185,택시사고
A049606,택시사고
A003259,택시사고
A037577,택시사고
A065162,택시사고
A062278,택시사고
A070631,택시사고
A066982,택시사고
A011938,택시사고
A050397,택시사고
A059527,택시사고
A033782,택시사고
A005427,택시사고
A041455,택시사고
A073585,택시사고
A071797,택시사고
A010128,택시사고
A074452,택시사고
A065482,택시사고
A051980,택시사고
A063672,택시사고
A071881,택시사고
A041957,택시사고
A038907,택시사고
A046910,택시사고
A060933,택시사고
A011085,택시사고
A017014,택시사고
A010017,택시사고
A037763,택시사고
A070218,택시사고
A001733,택시사고
A046351,택시사고
A010998,택시사고
A000412,택시사고
A047038,택시사고
A032392,택시사고
A013263,택시사고
A020810,택시사고
A048320,택시사고
A034680,택시사고
A027011,택시사고
A046373,택시사고
A063495,택시사고
A073125,택시사고
A044977,택시사고
A051705,택시사고
A061404,택시사고
A028205,택시사고
A052952,택시사고
A014726,택시사고
A062548,택시사고
A002097,택시사고
A060222,택시사고
A013972,택시사고
A023655,택시사고
A004269,택시사고
A037663,택시사고
A016492,택시사고
A021118,택시사고
A058977,택시사고
A023712,택시사고
A073046,택시사고
A071894,택시사고
A027599,택시사고
A037310,택시사고
A048478,택시사고
A073508,택시사고
A067769,택시사고
A041867,택시사고
A009077,택시사고
A005295,택시사고
A047393,택시사고
A059771,택시사고
A073471,택시사고
A055094,택시사고
A064089,택시사고
A005500,택시사고
A040727,택시사고
A057006,택시사고
A026871,택시사고
A066394,택시사고
A063973,택시사고
A020792,택시사고
A071018,택시사고
A004205,택시사고
A000682,택시사고
A016887,택시사고
A004358,택시사고
A015049,택시사고
A002056,택시사고
A024468,택시사고
A031593,택시사고
A043518,택시사고
A005217,택시사고
A020644,택시사고
A025988,택시사고
A010930,택시사고
A022351,택시사고
A066642,택시사고
A002267,택시사고
A016768,택시사고
A067262,택시사고
A035367,택시사고
A067145,택시사고
A073107,택시사고
A071879,택시사고
A073514,택시사고
A066534,택시사고
A066084,택시사고
A066700,택시사고
A070367,택시사고
A010356,택시사고
A026442,택시사고
A032631,택시사고
A070547,택시사고
A032953,택시사고
A047142,택시사고
A043105,택시사고
A026653,택시사고
A043537,택시사고
A017953,택시사고
